frequency,Tmag,Tphase
1,67.8783703,-0.165086362
1.12201845,67.878361,-0.185229812
1.25892541,67.8783493,-0.207831079
1.41253754,67.8783345,-0.233190042
1.58489319,67.8783158,-0.261643156
1.77827941,67.8782924,-0.293567922
1.99526231,67.8782629,-0.329387879
2.23872114,67.8782257,-0.369578225
2.51188643,67.8781789,-0.414672101
2.81838293,67.8781201,-0.465267647
3.16227766,67.8780459,-0.522035915
3.54813389,67.8779526,-0.585729736
3.98107171,67.8778351,-0.657193647
4.46683592,67.8776872,-0.737375029
5.01187234,67.877501,-0.827336567
5.62341325,67.8772666,-0.928270197
6.30957344,67.8769715,-1.04151271
7.07945784,67.8766001,-1.16856316
7.94328235,67.8761325,-1.31110238
8.91250938,67.8755439,-1.47101461
10,67.8748031,-1.65041169
11.2201845,67.8738706,-1.85165984
12.5892541,67.8726969,-2.07740935
14.1253754,67.8712198,-2.33062736
15.8489319,67.8693609,-2.61463379
17.7827941,67.8670219,-2.93314062
19.9526231,67.864079,-3.29029441
22.3872114,67.860377,-3.69072179
25.1188643,67.8557209,-4.13957756
28.1838293,67.8498664,-4.64259432
31.6227766,67.8425071,-5.20613238
35.4813389,67.83326,-5.83722746
39.8107171,67.8216465,-6.54363299
44.6683592,67.8070701,-7.33385201
50.1187234,67.7887887,-8.21715191
56.2341325,67.7658827,-9.20355235
63.0957344,67.7372165,-10.3037739
70.7945784,67.7013948,-11.5291304
79.4328235,67.6567142,-12.891345
89.1250938,67.6011104,-14.4022642
100,67.5321066,-16.0734423
112.201845,67.4467666,-17.9155693
125.892541,67.3416607,-19.9377203
141.253754,67.2128576,-22.1464206
158.489319,67.0559539,-24.544548
177.827941,66.8661578,-27.1301389
199.526231,66.6384403,-29.8952195
223.872114,66.3677604,-32.8248423
251.188643,66.049359,-35.8965533
281.838293,65.6790983,-39.0805138
316.227766,65.2538056,-42.3404342
354.813389,64.7715672,-45.6353424
398.107171,64.2319184,-48.9220238
446.683592,63.6358913,-52.157803
501.187234,62.9859097,-55.3032425
562.341325,62.2855536,-58.3243569
630.957344,61.5392394,-61.1940714
707.945784,60.7518723,-63.8928344
794.328235,59.92852,-66.4084651
891.250938,59.0741434,-68.7354288
1000,58.1933998,-70.8737703
1122.01845,57.290519,-72.8279177
1258.92541,56.3692417,-74.6055143
1412.53754,55.4328064,-76.2163783
1584.89319,54.4839692,-77.6716378
1778.27941,53.5250431,-78.9830508
1995.26231,52.5579483,-80.162496
2238.72114,51.5842646,-81.2216111
2511.88643,50.6052825,-82.1715491
2818.38293,49.6220502,-83.0228271
3162.27766,48.6354155,-83.7852431
3548.13389,47.646061,-84.4678421
3981.07171,46.6545355,-85.0789165
4466.83592,45.6612785,-85.6260365
5011.87234,44.6666417,-86.116059
5623.41325,43.670906,-86.5552182
6309.57344,42.6742956,-86.9491454
7079.45784,41.676989,-87.3029286
7943.28235,40.6791287,-87.6211635
8912.50938,39.6808276,-87.908003
10000,38.682176,-88.1672067
11220.1845,37.6832452,-88.4021723
12589.2541,36.684092,-88.6159961
14125.3754,35.6847614,-88.8115001
15848.9319,34.6852889,-88.9912593
17782.7941,33.6857027,-89.1576549
19952.6231,32.6860247,-89.3128935
22387.2114,31.686272,-89.4590218
25118.8643,30.6864578,-89.5979829
28183.8293,29.686592,-89.7316081
31622.7766,28.6866817,-89.8616801
35481.3389,27.6867317,-89.9899177
39810.7171,26.6867447,-90.1180227
44668.3592,25.6867213,-90.2476951
50118.7234,24.6866603,-90.3806551
